Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size
1,3178 GRAVELEY STREET,5/8/2020,1500000,18,2447,1946,74,5674
2,1438 E 28TH AVENUE,1/22/2020,1300000,7,2146,1982,38,3631.98
3,2831 W 49TH AVENUE,6/18/2019,2650000,1,3108,1929,90,9111
4,2645 TRIUMPH STREET,6/18/2019,1385000,28,2602,1922,97,4022.7
5,741-743 E 10TH AVENUE,11/28/2019,1590000,17,1843,1970,49,4026
6,86 W 21ST AVENUE,3/3/2020,2565000,7,2439,1989,31,4026
7,2418 E 54TH AVENUE,8/12/2019,1303000,9,2100,1979,40,3298.48
8,1787 E 57TH AVENUE,6/13/2019,1150000,10,1900,1950,69,6574.82
9,2926 TRIMBLE STREET,8/16/2019,2500000,10,2133,2005,14,3360
10,466 E 60TH AVENUE,10/17/2019,2400000,44,3989,2019,0,4412
11,150 W 42ND AVENUE,10/24/2019,2870000,22,3509,1995,24,5859
12,4010 INVERNESS STREET,9/23/2019,1355000,71,1902,1926,93,3196.85
13,8233 FRENCH STREET,3/20/2019,1638000,168,2317,1988,31,3752.1
14,2855 W 38TH AVENUE,5/25/2020,2880000,2,2286,1941,79,5808
15,3238 E PENDER STREET,2/11/2020,1270000,1,3128,1910,110,5424
16,4329 PERRY STREET,2/3/2020,1175000,25,1368,1948,72,3644.1
17,2907 W 30TH AVENUE,10/30/2019,2725000,12,3222,1936,83,5676.75
18,2095 E 28TH AVENUE,1/5/2020,1910000,37,3011,2020,0,3465
19,4030 PRINCE ALBERT STREET,1/6/2020,1181000,60,1929,1923,97,3484.8
20,2241 E 4TH AVENUE,3/23/2020,2489000,4,3452,2001,19,4550
21,6168 COMMERCIAL STREET,8/7/2019,1480000,31,2373,1992,27,3877.5
22,1431 RUPERT STREET,4/23/2019,1300000,108,2610,1971,48,4127.13
23,6192 LARCH STREET,10/26/2019,2700000,65,2602,1925,95,6227.1
24,235 E 62ND AVENUE,2/3/2020,1300000,22,1920,1968,52,3267
25,342 E 23RD AVENUE,7/16/2019,2910000,7,3330,2019,0,4048
26,2277 BONNYVALE AVENUE,5/28/2019,1498000,16,2150,1953,66,5607.1
27,5515 ARGYLE STREET,3/28/2019,2240000,143,3612,2019,0,4108.5
28,3775 WINDSOR STREET,3/16/2020,2275000,5,3316,1925,95,4026
29,2783 E 27TH AVENUE,5/22/2019,1410000,22,3166,2019,0,3630
30,495 E 60TH AVENUE,5/1/2020,1240000,4,1600,1949,71,4082.34
31,2823 W 24TH AVENUE,2/19/2020,2823000,59,2819,2010,10,4026
32,2056 E 2ND AVENUE,6/17/2019,2175000,41,2729,1912,107,4026
33,959 E 13TH AVENUE,8/16/2019,1498000,2,1799,1949,70,4026
34,4925 SHERBROOKE STREET,6/7/2019,1200000,75,1762,1954,65,4312
35,2614 E 18TH AVENUE,7/3/2019,2015000,24,3119,2018,1,3630
36,1749 GRANT STREET,4/2/2020,1610000,7,2951,1940,80,4356
37,1564 E 63RD AVENUE,11/18/2019,1570000,17,2560,1959,60,5580
38,1829 STEPHENS STREET,1/21/2020,1430000,86,1963,1911,109,2045.75
39,8571 WILTSHIRE STREET,7/8/2019,2100000,2,2450,1956,63,6000
40,3191 W 38TH AVENUE,4/20/2020,2898000,7,2792,1924,96,6525
41,4811 JOYCE STREET,11/28/2018,1400000,308,2000,1949,70,6187.5
42,7482 GATINEAU PLACE,11/12/2019,1677000,21,3036,1962,57,6033
43,2421 PANDORA STREET,2/4/2020,1700000,36,2500,1984,36,4026
44,1576 W 16TH AVENUE,7/3/2019,2800000,136,3095,1946,73,8871.25
45,5806 QUEBEC STREET,6/11/2019,1600000,8,1122,1946,73,4121
46,2342 E 28TH AVENUE,9/3/2019,1580000,3,2214,1914,105,4026
47,7248 KNIGHT STREET,6/14/2019,967000,2,1958,1949,70,4026
48,8577 CORNISH STREET,10/31/2019,2300000,2,3094,1996,23,5163
49,325 E 57TH AVENUE,7/16/2019,1650000,69,2362,2013,6,3388
50,1017 E 13TH AVENUE,1/7/2020,1605000,6,2381,1912,108,4026
51,1322 E 54TH AVENUE,4/3/2020,1175000,25,2256,1963,57,3874
52,6526 DAWSON STREET,4/14/2020,2630000,20,4704,2013,7,5640
53,4244 VICTORIA DRIVE,3/24/2020,1300000,6,2167,1926,94,4895
54,1312 W 59TH AVENUE,7/25/2019,2320000,20,3189,1988,31,5280
55,8473 ISABEL PLACE,10/9/2019,2390000,2,3320,2009,10,5827
56,3705 W 21ST AVENUE,3/3/2020,2215000,6,2033,1928,92,4026
57,1743 E 49TH AVENUE,8/27/2019,1370000,34,2628,1966,53,4635.87
58,5085 INVERNESS STREET,3/2/2020,1915000,7,2805,1945,75,5194
59,7567 ONTARIO STREET,4/27/2020,2028000,6,2300,1990,30,3700
60,2765 E 27TH AVENUE,2/13/2020,1188000,4,2132,1927,93,3696
61,460 E 54TH AVENUE,7/2/2019,2333333,260,3311,2019,1,4026
62,1026 HAZELTON STREET,6/4/2019,1235000,110,1521,1950,69,4726.48
63,4694 W 7TH AVENUE,3/31/2019,1910000,134,2158,1985,34,3719
64,1620 E 11TH AVENUE,10/16/2019,1178000,87,1600,1912,108,3175
65,1396 E 47TH AVENUE,7/8/2019,1240000,205,2125,1964,56,5112
66,3168 E 18TH AVENUE,8/6/2019,1225000,32,2066,1947,72,3630
67,6791 MAIN STREET,1/7/2020,1200000,3,1625,1949,71,3452.49
68,2198 E 33RD AVENUE,10/10/2019,1800000,97,2711,2013,7,3795
69,1865 E 53RD AVENUE,6/26/2019,1295000,0,2214,1907,112,3385.6
70,6588 VIVIAN STREET,6/26/2019,2820000,6,4987,2018,1,5631.36
71,3226 E 5TH AVENUE,6/4/2019,2199900,125,3455,2015,4,4026
72,2229 NEWPORT AVENUE,6/3/2019,1890000,87,2881,2008,11,4816
73,736 W 46TH AVENUE,5/22/2019,2350000,50,1682,1963,56,7102
74,3027 E 20TH AVENUE,11/8/2019,1200000,12,2661,1968,51,3638.02
75,4839 INVERNESS STREET,10/16/2019,2435000,97,3130,2018,2,3542
76,4785 ELGIN STREET,9/2/2019,1500000,16,2312,1912,107,3542.4
77,3506 NAPIER STREET,8/28/2019,1205000,67,2253,1989,30,3631.5
78,796 E 56TH AVENUE,12/9/2019,1250000,8,3107,1938,81,4102
79,1140 HAZELTON STREET,12/31/2019,1500000,7,1984,2002,18,3546.18
80,3770 W 13TH AVENUE,3/31/2020,2600000,3,2177,1925,95,4026
81,3641 ADANAC STREET,3/4/2020,1300000,5,2523,1912,108,3396.8
82,780 E 50TH AVENUE,8/22/2019,1471500,71,2548,1982,37,4290
83,2979 E 7TH AVENUE,2/20/2020,1260000,4,2273,1950,70,4026
84,3364 W 36TH AVENUE,2/18/2020,3000000,8,2982,1930,90,6512.5
85,2136 W 15TH AVENUE,12/16/2019,2400000,86,2936,1929,91,6250
86,2451 TRIUMPH STREET,4/14/2020,1250000,13,2554,1931,89,4026
87,5848 FLEMING STREET,10/16/2019,2300000,48,3394,2016,3,4092
88,1633 E 11TH AVENUE,6/3/2019,1800000,21,2691,1922,97,6286.5
89,4020 W 40TH AVENUE,10/22/2019,2955000,110,3196,1996,24,5488
90,3284 W 35TH AVENUE,5/15/2020,2355000,7,2667,1940,80,4797
91,3120 TURNER STREET,6/21/2019,1212500,30,1906,1941,78,3630
92,4720 DUNBAR STREET,7/29/2019,1925000,5,3191,1927,92,4197.6
93,7438 MUIRFIELD DRIVE,10/30/2019,1908000,11,3227,1997,22,5391.31
94,2127 E 4TH AVENUE,3/18/2020,1260000,8,1236,1927,93,3900
95,4649 W 8TH AVENUE,8/26/2019,2100000,64,1911,1926,93,3719
96,2876 E 22ND AVENUE,3/4/2020,1100000,13,1604,1938,82,3960
97,836 W 22ND AVENUE,5/12/2020,2689000,0,1402,1926,94,5124
98,3404 E 4TH AVENUE,2/24/2020,1225000,8,1702,1952,68,4092
99,3707 W 3RD AVENUE,2/28/2020,2550000,42,1800,1946,74,4872
100,3551 WELLINGTON AVENUE,10/23/2019,1550000,4,2265,1949,70,7213
101,95 PENTICTON STREET,2/15/2020,1508000,4,1674,1949,71,4045
102,597 W 20TH AVENUE,5/21/2019,2296000,41,2334,2000,19,3288.6
103,2997 TURNER STREET,5/27/2019,2047619,122,3748,2019,0,4356
104,2281 E 2ND AVENUE,10/18/2019,1420000,13,2005,1929,90,4026
105,746 E KING EDWARD AVENUE,1/29/2020,1988000,19,2660,2006,14,5907
106,3535 ADANAC STREET,8/8/2019,1100000,34,2439,1976,43,3507.9
107,558 E 20TH AVENUE,9/11/2019,2648000,8,3814,2020,0,6039
108,1866 E 50TH AVENUE,10/17/2019,1470000,30,2160,1995,24,3600
109,2612 KITCHENER STREET,7/15/2019,1360000,23,2596,1980,39,4191
110,3333 W 22ND AVENUE,8/27/2019,2408000,70,2953,1989,30,4026
111,3334 E 27TH AVENUE,2/5/2020,2152000,56,3416,2020,0,3960
